rank,wallet,edge_type,cluster,hl_core_pnl_usd,hl_winrate,hl_active_days,evm_early_survivors,evm_early_n,evm_held_usd,tags,twitter,cross_chain,confidence,evidence,action
20,0x3b11267dfc4b9ebe8427e8f557056b4b6ce98112,COPY_FIT,,1045920,0.87,64,,,,,,,0.6,"HL Core realized $1,045,920, winrate 0.87, 64/108 active days, 75 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
21,0x51f3a19c1dfd8d7fe670e43ce0f66648789c8b34,COPY_FIT,,1030185,0.87,97,,,,,,,0.6,"HL Core realized $1,030,185, winrate 0.87, 97/108 active days, 92 fills/day, 32% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
22,0x6bea81d7a0c5939a5ce5552e125ab57216cc597f,COPY_FIT,,987541,0.58,103,,,,,,,0.6,"HL Core realized $987,541, winrate 0.58, 103/108 active days, 113 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
23,0xebcda26432c1e2a46898d9920759438f86c8fcf4,COPY_FIT,,986789,0.76,100,,,,,,,0.6,"HL Core realized $986,789, winrate 0.76, 100/108 active days, 301 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
24,0xd05d2e015b9ed6f17f2111cf1ac7ae229155816e,COPY_FIT,,924637,0.91,91,,,,,,,0.6,"HL Core realized $924,637, winrate 0.91, 91/108 active days, 127 fills/day, 2% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
25,0xbeaa070f687881f68e62aab7f3c2db793214f5f9,COPY_FIT,,898100,0.68,46,,,,,,,0.6,"HL Core realized $898,100, winrate 0.68, 46/108 active days, 293 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
26,0x5e0c78f6360514ac1d4ea4ab9a2a232284458e69,COPY_FIT,,886945,0.9,107,,,,HL-tagged,,,0.6,"HL Core realized $886,945, winrate 0.9, 107/108 active days, 234 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
27,0xe5d844a60e2d547205aea63d473ca704be014ebe,COPY_FIT,,823266,0.74,49,,,,,,,0.6,"HL Core realized $823,266, winrate 0.74, 49/108 active days, 231 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
28,0xf899937184168b1d9dee75acbaa3fef0f52888db,COPY_FIT,,800212,0.74,97,,,,HL-tagged,,,0.6,"HL Core realized $800,212, winrate 0.74, 97/108 active days, 111 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
29,0xa3d843b6a057504284006bef6f34a2e9bc80fb6b,COPY_FIT,,792510,0.77,73,,,,,,,0.6,"HL Core realized $792,510, winrate 0.77, 73/108 active days, 210 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
30,0xda0950da3882ef1ae1e41e99ebe31e6b3324c17f,COPY_FIT,,789087,0.93,59,,,,HL-tagged,,,0.6,"HL Core realized $789,087, winrate 0.93, 59/108 active days, 48 fills/day, 81% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
31,0x2a934d40944e2b686ee9cdce74a3f67d32cd0347,COPY_FIT,,751480,0.92,98,,,,HL-tagged,,,0.6,"HL Core realized $751,480, winrate 0.92, 98/108 active days, 43 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
32,0x8e096995c3e4a3f0bc5b3ea1cba94de2aa4d70c9,COPY_FIT,,737180,0.74,99,,,,HL-tagged,,,0.6,"HL Core realized $737,180, winrate 0.74, 99/108 active days, 296 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
33,0x381fe486d87c7f2633c777f1b5be3105a2a51744,COPY_FIT,,664355,0.77,50,,,,,,,0.6,"HL Core realized $664,355, winrate 0.77, 50/108 active days, 92 fills/day, 13% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
